FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
39001,Ohio,Adams,ARC,"Adams County, Ohio",21825,11132,11132,10489,643,0,10693,5.78%,48.99%,10175,772,7.59%,718,7.06%,1376,13.52%,1230,12.09%,1232,12.11%,1506,14.80%,1212,11.91%,1388,13.64%,348,3.42%,393,3.86%,46234,4109,40.38%,822,8.08%,397,3.90%,2048,20.13%,16.4
39007,Ohio,Ashtabula,ARC,"Ashtabula County, Ohio",78803,45608,45596,42136,3460,12,33195,7.59%,42.12%,38549,2278,5.91%,2271,5.89%,4206,10.91%,3765,9.77%,5758,14.94%,7118,18.46%,4971,12.90%,5024,13.03%,1882,4.88%,1276,3.31%,53663,14945,38.77%,2366,6.14%,884,2.29%,6575,17.06%,14.8
39009,Ohio,Athens,ARC,"Athens County, Ohio",53349,30031,29924,28218,1706,107,23318,5.70%,43.71%,22582,2347,10.39%,1605,7.11%,2639,11.69%,2111,9.35%,2762,12.23%,3338,14.78%,2718,12.04%,3056,13.53%,1018,4.51%,988,4.38%,48750,6115,27.08%,1862,8.25%,619,2.74%,3341,14.79%,11.2
39013,Ohio,Belmont,ARC,"Belmont County, Ohio",55773,30268,30268,28440,1828,0,25505,6.04%,45.73%,25974,1503,5.79%,1424,5.48%,1994,7.68%,2841,10.94%,3554,13.68%,4997,19.24%,3592,13.83%,3787,14.58%,1195,4.60%,1087,4.18%,56943,10206,39.29%,2440,9.39%,553,2.13%,3566,13.73%,10.9
39015,Ohio,Brown,ARC,"Brown County, Ohio",34996,19953,19953,19080,873,0,15043,4.38%,42.98%,16958,686,4.05%,1282,7.56%,1669,9.84%,1173,6.92%,1814,10.70%,2918,17.21%,2724,16.06%,3165,18.66%,648,3.82%,879,5.18%,66677,6367,37.55%,1439,8.49%,340,2.00%,2663,15.70%,12.8
39019,Ohio,Carroll,ARC,"Carroll County, Ohio",22017,12402,12402,11916,486,0,9615,3.92%,43.67%,11355,526,4.63%,411,3.62%,1057,9.31%,943,8.30%,1644,14.48%,2483,21.87%,1447,12.74%,1767,15.56%,511,4.50%,566,4.98%,59872,4196,36.95%,832,7.33%,218,1.92%,1346,11.85%,10.3
39025,Ohio,Clermont,ARC,"Clermont County, Ohio",167698,109345,109209,104710,4499,136,58353,4.12%,34.80%,82712,2732,3.30%,2553,3.09%,5805,7.02%,5860,7.08%,7835,9.47%,13850,16.74%,12410,15.00%,15338,18.54%,8144,9.85%,8185,9.90%,79573,26919,32.55%,4727,5.72%,1588,1.92%,6088,7.36%,5.6
39029,Ohio,Columbiana,ARC,"Columbiana County, Ohio",83979,48751,48745,46351,2394,6,35228,4.91%,41.95%,41251,2084,5.05%,1939,4.70%,4525,10.97%,4407,10.68%,5765,13.98%,7148,17.33%,6036,14.63%,5797,14.05%,2372,5.75%,1178,2.86%,55473,15234,36.93%,3023,7.33%,881,2.14%,5916,14.34%,10.4
39031,Ohio,Coshocton,ARC,"Coshocton County, Ohio",28934,16525,16515,15505,1010,10,12409,6.12%,42.89%,14739,1071,7.27%,868,5.89%,1440,9.77%,1629,11.05%,2065,14.01%,2559,17.36%,2081,14.12%,1970,13.37%,695,4.72%,361,2.45%,52048,5411,36.71%,995,6.75%,402,2.73%,2669,18.11%,15.4
39053,Ohio,Gallia,ARC,"Gallia County, Ohio",23372,12311,12311,11806,505,0,11061,4.10%,47.33%,11303,699,6.18%,695,6.15%,988,8.74%,1161,10.27%,1563,13.83%,2224,19.68%,1140,10.09%,1853,16.39%,515,4.56%,465,4.11%,55533,4708,41.65%,770,6.81%,187,1.65%,1870,16.54%,13.7
39059,Ohio,Guernsey,ARC,"Guernsey County, Ohio",30980,17558,17524,16725,799,34,13422,4.56%,43.32%,16165,1051,6.50%,705,4.36%,1654,10.23%,1782,11.02%,2382,14.74%,3127,19.34%,2209,13.67%,2097,12.97%,654,4.05%,504,3.12%,53901,5811,35.95%,1201,7.43%,498,3.08%,2728,16.88%,13.9
39067,Ohio,Harrison,ARC,"Harrison County, Ohio",11878,5984,5949,5681,268,35,5894,4.50%,49.62%,5799,318,5.48%,354,6.10%,603,10.40%,621,10.71%,862,14.86%,985,16.99%,810,13.97%,828,14.28%,208,3.59%,210,3.62%,54056,2315,39.92%,456,7.86%,112,1.93%,809,13.95%,11.7
39071,Ohio,Highland,ARC,"Highland County, Ohio",34149,19922,19916,19045,871,6,14227,4.37%,41.66%,16688,794,4.76%,843,5.05%,1640,9.83%,1441,8.63%,2198,13.17%,3643,21.83%,2021,12.11%,2971,17.80%,806,4.83%,331,1.98%,60522,6332,37.94%,1340,8.03%,565,3.39%,2761,16.54%,11.4
39073,Ohio,Hocking,ARC,"Hocking County, Ohio",22710,13338,13325,12698,627,13,9372,4.71%,41.27%,11279,592,5.25%,474,4.20%,1092,9.68%,1125,9.97%,1438,12.75%,1887,16.73%,1745,15.47%,2147,19.04%,457,4.05%,322,2.85%,59007,3933,34.87%,908,8.05%,301,2.67%,1970,17.47%,12.4
39075,Ohio,Holmes,ARC,"Holmes County, Ohio",32429,21066,21066,20649,417,0,11363,1.98%,35.04%,13314,507,3.81%,341,2.56%,763,5.73%,1041,7.82%,1296,9.73%,2924,21.96%,1894,14.23%,2373,17.82%,1202,9.03%,973,7.31%,72987,3084,23.16%,425,3.19%,225,1.69%,475,3.57%,7.6
39079,Ohio,Jackson,ARC,"Jackson County, Ohio",25762,14599,14599,13736,863,0,11163,5.91%,43.33%,12453,822,6.60%,645,5.18%,1328,10.66%,1078,8.66%,1615,12.97%,2622,21.06%,1640,13.17%,1702,13.67%,483,3.88%,518,4.16%,56549,4493,36.08%,914,7.34%,374,3.00%,2222,17.84%,12.7
39081,Ohio,Jefferson,ARC,"Jefferson County, Ohio",54266,29687,29667,28021,1646,20,24579,5.55%,45.29%,26973,1998,7.41%,1466,5.44%,2952,10.94%,2842,10.54%,3392,12.58%,5180,19.20%,3235,11.99%,3908,14.49%,1102,4.09%,898,3.33%,53124,10570,39.19%,1946,7.21%,498,1.85%,4246,15.74%,14.7
39087,Ohio,Lawrence,ARC,"Lawrence County, Ohio",46927,24741,24708,23771,937,33,22186,3.79%,47.28%,22455,1197,5.33%,1481,6.60%,2631,11.72%,1973,8.79%,3600,16.03%,4273,19.03%,2970,13.23%,2627,11.70%,868,3.87%,835,3.72%,51846,8966,39.93%,2186,9.74%,714,3.18%,4678,20.83%,14.2
39099,Ohio,Mahoning,ARC,"Mahoning County, Ohio",187732,112071,111943,103872,8071,128,75661,7.21%,40.30%,97655,7054,7.22%,5811,5.95%,8927,9.14%,9895,10.13%,13755,14.09%,17025,17.43%,11456,11.73%,14310,14.65%,5063,5.18%,4359,4.46%,54279,37114,38.01%,6837,7.00%,3055,3.13%,17179,17.59%,14.6
39105,Ohio,Meigs,ARC,"Meigs County, Ohio",17970,8903,8903,8336,567,0,9067,6.37%,50.46%,8833,638,7.22%,594,6.72%,1085,12.28%,1172,13.27%,1293,14.64%,1287,14.57%,1041,11.79%,1086,12.29%,447,5.06%,190,2.15%,46255,3781,42.81%,978,11.07%,191,2.16%,2126,24.07%,14.4
39111,Ohio,Monroe,ARC,"Monroe County, Ohio",11001,5731,5731,5418,313,0,5270,5.46%,47.90%,5574,333,5.97%,219,3.93%,562,10.08%,685,12.29%,759,13.62%,970,17.40%,860,15.43%,619,11.11%,325,5.83%,242,4.34%,55381,2233,40.06%,402,7.21%,176,3.16%,832,14.93%,10.9
39115,Ohio,Morgan,ARC,"Morgan County, Ohio",11281,5761,5759,5475,284,2,5520,4.93%,48.93%,5657,375,6.63%,402,7.11%,671,11.86%,500,8.84%,837,14.80%,1285,22.72%,608,10.75%,658,11.63%,187,3.31%,134,2.37%,51056,2321,41.03%,388,6.86%,156,2.76%,1081,19.11%,12.7
39119,Ohio,Muskingum,ARC,"Muskingum County, Ohio",68916,41507,41451,39534,1917,56,27409,4.62%,39.77%,34599,1815,5.25%,2040,5.90%,3637,10.51%,3307,9.56%,4606,13.31%,6015,17.38%,4696,13.57%,4775,13.80%,2286,6.61%,1422,4.11%,56810,12685,36.66%,2287,6.61%,948,2.74%,6573,19.00%,12.1
39121,Ohio,Noble,ARC,"Noble County, Ohio",11746,4395,4395,4196,199,0,7351,4.53%,62.58%,4545,194,4.27%,433,9.53%,420,9.24%,624,13.73%,552,12.15%,836,18.39%,419,9.22%,603,13.27%,274,6.03%,190,4.18%,51547,2524,55.53%,148,3.26%,71,1.56%,418,9.20%,11.9
39127,Ohio,Perry,ARC,"Perry County, Ohio",28187,15892,15884,15105,779,8,12295,4.90%,43.62%,13371,830,6.21%,812,6.07%,1150,8.60%,1040,7.78%,1688,12.62%,2381,17.81%,2168,16.21%,1792,13.40%,885,6.62%,625,4.67%,62899,5099,38.13%,1227,9.18%,526,3.93%,2401,17.96%,11
39131,Ohio,Pike,ARC,"Pike County, Ohio",21568,10874,10874,10313,561,0,10694,5.16%,49.58%,10495,860,8.19%,866,8.25%,1062,10.12%,953,9.08%,1430,13.63%,1577,15.03%,1303,12.42%,1498,14.27%,639,6.09%,307,2.93%,50832,3950,37.64%,1284,12.23%,269,2.56%,2524,24.05%,16.9
39141,Ohio,Ross,ARC,"Ross County, Ohio",62723,33753,33726,31793,1933,27,28970,5.73%,46.19%,29565,1750,5.92%,1569,5.31%,2766,9.36%,3494,11.82%,3447,11.66%,4754,16.08%,4009,13.56%,5306,17.95%,1294,4.38%,1176,3.98%,58048,10583,35.80%,2443,8.26%,819,2.77%,5189,17.55%,12.8
39145,Ohio,Scioto,ARC,"Scioto County, Ohio",59736,28866,28857,26689,2168,9,30870,7.51%,51.68%,28030,1935,6.90%,2815,10.04%,3851,13.74%,2715,9.69%,3551,12.67%,4395,15.68%,3124,11.15%,3567,12.73%,1135,4.05%,942,3.36%,46360,11600,41.38%,3062,10.92%,896,3.20%,7198,25.68%,19.6
39155,Ohio,Trumbull,ARC,"Trumbull County, Ohio",165725,90981,90846,86468,4378,135,74744,4.82%,45.10%,85042,5607,6.59%,5073,5.97%,8420,9.90%,8624,10.14%,12229,14.38%,16006,18.82%,10872,12.78%,11468,13.49%,3719,4.37%,3024,3.56%,53537,34128,40.13%,6271,7.37%,2089,2.46%,11508,13.53%,14.7
39157,Ohio,Tuscarawas,ARC,"Tuscarawas County, Ohio",74172,45751,45751,43237,2514,0,28421,5.49%,38.32%,37774,1782,4.72%,1488,3.94%,3291,8.71%,3828,10.13%,4893,12.95%,7170,18.98%,5778,15.30%,6117,16.19%,1970,5.22%,1457,3.86%,61953,13613,36.04%,2191,5.80%,761,2.01%,5139,13.60%,9.4
39163,Ohio,Vinton,ARC,"Vinton County, Ohio",10391,5292,5292,5101,191,0,5099,3.61%,49.07%,5104,357,6.99%,310,6.07%,445,8.72%,340,6.66%,1047,20.51%,877,17.18%,512,10.03%,716,14.03%,444,8.70%,56,1.10%,50967,2109,41.32%,549,10.76%,191,3.74%,1168,22.88%,15.2
39167,Ohio,Washington,ARC,"Washington County, Ohio",49365,28540,28522,27028,1494,18,20825,5.24%,42.19%,24622,1131,4.59%,1272,5.17%,2607,10.59%,2632,10.69%,3217,13.07%,3896,15.82%,3893,15.81%,3619,14.70%,1369,5.56%,986,4.00%,59053,9466,38.45%,1795,7.29%,381,1.55%,3008,12.22%,11.1
42003,Pennsylvania,Allegheny,ARC,"Allegheny County, Pennsylvania",1040488,674344,673356,640039,33317,988,366144,4.95%,35.19%,545637,29225,5.36%,22563,4.14%,39577,7.25%,41321,7.57%,60479,11.08%,87260,15.99%,67073,12.29%,90924,16.66%,48520,8.89%,58695,10.76%,72537,183632,33.65%,27146,4.98%,18241,3.34%,67094,12.30%,7.4
42005,Pennsylvania,Armstrong,ARC,"Armstrong County, Pennsylvania",54730,31838,31799,30185,1614,39,22892,5.08%,41.83%,27767,1001,3.60%,1252,4.51%,2581,9.30%,2624,9.45%,3599,12.96%,5323,19.17%,4042,14.56%,4366,15.72%,1786,6.43%,1193,4.30%,61011,11620,41.85%,1744,6.28%,994,3.58%,4081,14.70%,7
42007,Pennsylvania,Beaver,ARC,"Beaver County, Pennsylvania",139229,85175,85062,80302,4760,113,54054,5.60%,38.82%,71999,3305,4.59%,2748,3.82%,6367,8.84%,5950,8.26%,8625,11.98%,12850,17.85%,9634,13.38%,12623,17.53%,5762,8.00%,4135,5.74%,67194,29360,40.78%,4441,6.17%,2239,3.11%,9905,13.76%,7.6
42009,Pennsylvania,Bedford,ARC,"Bedford County, Pennsylvania",39710,23213,23210,22220,990,3,16497,4.27%,41.54%,19571,696,3.56%,1062,5.43%,2350,12.01%,1925,9.84%,2557,13.07%,3447,17.61%,2730,13.95%,3128,15.98%,933,4.77%,743,3.80%,58337,8727,44.59%,758,3.87%,431,2.20%,2568,13.12%,7.7
42013,Pennsylvania,Blair,ARC,"Blair County, Pennsylvania",101006,60094,60014,57506,2508,80,40912,4.18%,40.50%,50587,2522,4.99%,2486,4.91%,4758,9.41%,4680,9.25%,6768,13.38%,8755,17.31%,7065,13.97%,8298,16.40%,2945,5.82%,2310,4.57%,59386,20068,39.67%,2775,5.49%,2012,3.98%,8348,16.50%,9.5
42015,Pennsylvania,Bradford,ARC,"Bradford County, Pennsylvania",48709,27291,27268,25961,1307,23,21418,4.79%,43.97%,24361,971,3.99%,1070,4.39%,2110,8.66%,2404,9.87%,3568,14.65%,4010,16.46%,3550,14.57%,4116,16.90%,1516,6.22%,1046,4.29%,60650,10071,41.34%,1304,5.35%,730,3.00%,2994,12.29%,10.5
42019,Pennsylvania,Butler,ARC,"Butler County, Pennsylvania",161324,101526,101332,96617,4715,194,59798,4.65%,37.07%,79466,2921,3.68%,2324,2.92%,5662,7.13%,5738,7.22%,7143,8.99%,12985,16.34%,9599,12.08%,15878,19.98%,7859,9.89%,9357,11.77%,82932,28638,36.04%,3148,3.96%,1372,1.73%,7098,8.93%,4.9
42021,Pennsylvania,Cambria,ARC,"Cambria County, Pennsylvania",111150,60874,60714,57707,3007,160,50276,4.95%,45.23%,55541,3236,5.83%,3168,5.70%,5536,9.97%,5916,10.65%,7824,14.09%,9747,17.55%,7191,12.95%,8295,14.93%,2650,4.77%,1978,3.56%,54221,24586,44.27%,3278,5.90%,2066,3.72%,10086,18.16%,10.5
42023,Pennsylvania,Cameron,ARC,"Cameron County, Pennsylvania",3821,1949,1949,1810,139,0,1872,7.13%,48.99%,2210,104,4.71%,154,6.97%,331,14.98%,260,11.76%,373,16.88%,422,19.10%,274,12.40%,208,9.41%,43,1.95%,41,1.86%,46186,1104,49.95%,154,6.97%,103,4.66%,550,24.89%,11
42025,Pennsylvania,Carbon,ARC,"Carbon County, Pennsylvania",54210,33083,33061,30774,2287,22,21127,6.92%,38.97%,26662,1075,4.03%,1237,4.64%,2155,8.08%,2441,9.16%,3552,13.32%,4926,18.48%,3542,13.28%,4774,17.91%,1708,6.41%,1252,4.70%,64538,11211,42.05%,1580,5.93%,526,1.97%,3716,13.94%,8.9
42027,Pennsylvania,Centre,ARC,"Centre County, Pennsylvania",138066,77947,77754,74670,3084,193,60119,3.97%,43.54%,58285,4256,7.30%,2055,3.53%,4506,7.73%,4462,7.66%,6653,11.41%,8792,15.08%,6925,11.88%,10175,17.46%,4896,8.40%,5565,9.55%,70087,16632,28.54%,2178,3.74%,1169,2.01%,4254,7.30%,5.3
42031,Pennsylvania,Clarion,ARC,"Clarion County, Pennsylvania",31293,18446,18397,17376,1021,49,12847,5.55%,41.05%,14808,678,4.58%,830,5.61%,1475,9.96%,1507,10.18%,1802,12.17%,2712,18.31%,1958,13.22%,2397,16.19%,758,5.12%,691,4.67%,58690,5816,39.28%,927,6.26%,491,3.32%,2288,15.45%,8
42033,Pennsylvania,Clearfield,ARC,"Clearfield County, Pennsylvania",66993,37141,37095,34861,2234,46,29852,6.02%,44.56%,31741,1476,4.65%,1651,5.20%,3367,10.61%,3133,9.87%,4116,12.97%,6728,21.20%,4332,13.65%,4563,14.38%,1402,4.42%,973,3.07%,56982,13130,41.37%,2373,7.48%,1399,4.41%,6088,19.18%,11.1
42035,Pennsylvania,Clinton,ARC,"Clinton County, Pennsylvania",31233,18628,18617,17621,996,11,12605,5.35%,40.36%,14877,750,5.04%,743,4.99%,1465,9.85%,1434,9.64%,1847,12.42%,2747,18.46%,2127,14.30%,2376,15.97%,905,6.08%,483,3.25%,59011,5908,39.71%,1063,7.15%,481,3.23%,2207,14.83%,8.4
42037,Pennsylvania,Columbia,ARC,"Columbia County, Pennsylvania",54990,31799,31750,30240,1510,49,23191,4.76%,42.17%,25878,1552,6.00%,1290,4.98%,2551,9.86%,2045,7.90%,3641,14.07%,4760,18.39%,3288,12.71%,3990,15.42%,1510,5.84%,1251,4.83%,59457,9842,38.03%,1209,4.67%,631,2.44%,2681,10.36%,9.3
42039,Pennsylvania,Crawford,ARC,"Crawford County, Pennsylvania",68806,38379,38288,36129,2159,91,30427,5.64%,44.22%,33191,1230,3.71%,1695,5.11%,3231,9.73%,3560,10.73%,4406,13.27%,6520,19.64%,4693,14.14%,4983,15.01%,1704,5.13%,1169,3.52%,58734,13944,42.01%,2987,9.00%,1034,3.12%,5533,16.67%,9.8
42047,Pennsylvania,Elk,ARC,"Elk County, Pennsylvania",25717,16022,16011,14970,1041,11,9695,6.50%,37.70%,13485,495,3.67%,450,3.34%,1372,10.17%,1249,9.26%,1992,14.77%,2489,18.46%,2352,17.44%,1909,14.16%,700,5.19%,477,3.54%,61672,5649,41.89%,768,5.70%,346,2.57%,1895,14.05%,5.6
42049,Pennsylvania,Erie,ARC,"Erie County, Pennsylvania",220536,131780,131589,124388,7201,191,88756,5.47%,40.25%,109474,6322,5.77%,5492,5.02%,10751,9.82%,10492,9.58%,13628,12.45%,19097,17.44%,14524,13.27%,16496,15.07%,6602,6.03%,6070,5.54%,59396,39876,36.43%,8447,7.72%,4101,3.75%,19978,18.25%,11.7
42051,Pennsylvania,Fayette,ARC,"Fayette County, Pennsylvania",106890,58602,58587,54363,4224,15,48288,7.21%,45.18%,54937,3570,6.50%,3861,7.03%,5313,9.67%,5515,10.04%,6922,12.60%,9204,16.75%,6931,12.62%,8305,15.12%,3097,5.64%,2219,4.04%,55579,22841,41.58%,5018,9.13%,2655,4.83%,12475,22.71%,11.5
42053,Pennsylvania,Forest,ARC,"Forest County, Pennsylvania",6312,1703,1703,1630,73,0,4609,4.29%,73.02%,1844,139,7.54%,90,4.88%,223,12.09%,249,13.50%,293,15.89%,416,22.56%,191,10.36%,154,8.35%,71,3.85%,18,0.98%,46188,1160,62.91%,102,5.53%,16,0.87%,291,15.78%,14.9
42057,Pennsylvania,Fulton,ARC,"Fulton County, Pennsylvania",12078,7143,7143,6879,264,0,4935,3.70%,40.86%,6126,256,4.18%,329,5.37%,524,8.55%,586,9.57%,723,11.80%,1108,18.09%,852,13.91%,1157,18.89%,425,6.94%,166,2.71%,63153,2618,42.74%,294,4.80%,206,3.36%,873,14.25%,8.3
42059,Pennsylvania,Greene,ARC,"Greene County, Pennsylvania",29852,15007,14999,14223,776,8,14845,5.17%,49.73%,13957,691,4.95%,663,4.75%,1398,10.02%,1216,8.71%,1577,11.30%,2272,16.28%,2001,14.34%,2665,19.09%,852,6.10%,622,4.46%,66283,5749,41.19%,990,7.09%,522,3.74%,2659,19.05%,10.4
42061,Pennsylvania,Huntingdon,ARC,"Huntingdon County, Pennsylvania",37256,19332,19316,18332,984,16,17924,5.09%,48.11%,15771,698,4.43%,693,4.39%,1541,9.77%,1316,8.34%,2161,13.70%,2852,18.08%,2432,15.42%,2480,15.73%,878,5.57%,720,4.57%,61300,6998,44.37%,1042,6.61%,454,2.88%,2093,13.27%,8.9
42063,Pennsylvania,Indiana,ARC,"Indiana County, Pennsylvania",70363,39099,39030,36508,2522,69,31264,6.46%,44.43%,32285,1712,5.30%,1647,5.10%,3507,10.86%,3183,9.86%,4496,13.93%,5296,16.40%,4232,13.11%,4864,15.07%,2179,6.75%,1169,3.62%,57170,12728,39.42%,2135,6.61%,1126,3.49%,4465,13.83%,7.5
42065,Pennsylvania,Jefferson,ARC,"Jefferson County, Pennsylvania",36098,21070,21052,19921,1131,18,15028,5.37%,41.63%,18018,886,4.92%,843,4.68%,1801,10.00%,1932,10.72%,2635,14.62%,3686,20.46%,2251,12.49%,2566,14.24%,712,3.95%,706,3.92%,56607,7425,41.21%,1035,5.74%,520,2.89%,2549,14.15%,11.6
42067,Pennsylvania,Juniata,ARC,"Juniata County, Pennsylvania",19085,11276,11271,10918,353,5,7809,3.13%,40.92%,8852,285,3.22%,333,3.76%,804,9.08%,630,7.12%,1492,16.85%,1535,17.34%,1408,15.91%,1419,16.03%,612,6.91%,334,3.77%,61915,3366,38.03%,472,5.33%,146,1.65%,980,11.07%,6.6
42069,Pennsylvania,Lackawanna,ARC,"Lackawanna County, Pennsylvania",177591,107611,107488,102307,5181,123,69980,4.82%,39.41%,87896,4096,4.66%,4479,5.10%,8215,9.35%,7494,8.53%,10698,12.17%,15480,17.61%,11348,12.91%,14250,16.21%,6342,7.22%,5494,6.25%,63739,33725,38.37%,5137,5.84%,3222,3.67%,14661,16.68%,9.9
42073,Pennsylvania,Lawrence,ARC,"Lawrence County, Pennsylvania",71031,41729,41713,38886,2827,16,29302,6.78%,41.25%,35933,1653,4.60%,1729,4.81%,3743,10.42%,3564,9.92%,5253,14.62%,6114,17.02%,4734,13.17%,5677,15.80%,1988,5.53%,1478,4.11%,57585,15435,42.95%,2369,6.59%,1416,3.94%,7081,19.71%,8.9
42079,Pennsylvania,Luzerne,ARC,"Luzerne County, Pennsylvania",267917,163459,163259,153692,9567,200,104458,5.86%,38.99%,132608,7693,5.80%,6998,5.28%,11139,8.40%,13245,9.99%,16508,12.45%,22486,16.96%,18526,13.97%,20506,15.46%,8514,6.42%,6993,5.27%,60836,50661,38.20%,7338,5.53%,5143,3.88%,25055,18.89%,12.3
42081,Pennsylvania,Lycoming,ARC,"Lycoming County, Pennsylvania",93391,55431,55369,52429,2940,62,37960,5.31%,40.65%,45705,2129,4.66%,1870,4.09%,3937,8.61%,4154,9.09%,5710,12.49%,9038,19.77%,6646,14.54%,7392,16.17%,2834,6.20%,1995,4.36%,63437,17799,38.94%,2688,5.88%,1553,3.40%,6697,14.65%,9.2
42083,Pennsylvania,McKean,ARC,"McKean County, Pennsylvania",33555,18574,18554,17575,979,20,14981,5.28%,44.65%,15931,824,5.17%,808,5.07%,1727,10.84%,1575,9.89%,1844,11.57%,3164,19.86%,2256,14.16%,2311,14.51%,798,5.01%,624,3.92%,57861,6384,40.07%,1373,8.62%,674,4.23%,2629,16.50%,11
42085,Pennsylvania,Mercer,ARC,"Mercer County, Pennsylvania",92473,50842,50623,47850,2773,219,41631,5.48%,45.02%,45890,2347,5.11%,2415,5.26%,4720,10.29%,4818,10.50%,5830,12.70%,8111,17.67%,5824,12.69%,7311,15.93%,2718,5.92%,1796,3.91%,57353,19175,41.78%,3651,7.96%,1723,3.75%,7813,17.03%,11
42087,Pennsylvania,Mifflin,ARC,"Mifflin County, Pennsylvania",36936,22120,22093,21229,864,27,14816,3.91%,40.11%,18612,599,3.22%,805,4.33%,2053,11.03%,1734,9.32%,2702,14.52%,4060,21.81%,2610,14.02%,2876,15.45%,706,3.79%,467,2.51%,58012,7699,41.37%,1209,6.50%,596,3.20%,2916,15.67%,14.7
42089,Pennsylvania,Monroe,ARC,"Monroe County, Pennsylvania",139579,84535,84496,79168,5328,39,55044,6.31%,39.44%,59113,2565,4.34%,1791,3.03%,3947,6.68%,3946,6.68%,6076,10.28%,9354,15.82%,8192,13.86%,12472,21.10%,6043,10.22%,4727,8.00%,80656,22815,38.60%,3797,6.42%,1894,3.20%,8137,13.77%,9.2
42093,Pennsylvania,Montour,ARC,"Montour County, Pennsylvania",14937,8981,8925,8711,214,56,5956,2.40%,39.87%,7633,391,5.12%,196,2.57%,713,9.34%,551,7.22%,972,12.73%,1116,14.62%,1005,13.17%,1347,17.65%,651,8.53%,691,9.05%,72626,2598,34.04%,250,3.28%,108,1.41%,648,8.49%,6.6
42097,Pennsylvania,Northumberland,ARC,"Northumberland County, Pennsylvania",75640,43524,43524,41461,2063,0,32116,4.74%,42.46%,37775,1700,4.50%,1721,4.56%,4364,11.55%,4068,10.77%,5065,13.41%,6464,17.11%,4884,12.93%,5677,15.03%,2409,6.38%,1423,3.77%,55952,15749,41.69%,2333,6.18%,1257,3.33%,5446,14.42%,9.4
